Name,MFLOPS_observed,MFLOPS_tuned,Time,Row,Col,BlockRow,BlockCol
extr1b_A_10.rb,1791.26,1524.49,0.00207105,2836,2836,0,0
fpga_dcop_38.rb,1914.6,1633.95,0.0015058,1220,1220,1,1
klein-b1.rb,389.693,240.241,0.0141009,30,10,0,0
zed.rb,1680.78,1160.56,0.00124235,116,142,0,0
whitaker3_dual.rb,1561.75,1441.28,0.00530766,19190,19190,0,0
fullb.rb,2796.08,4364.53,0.268273,199187,199187,3,1
bcsstm22.rb,550.867,377.294,0.00114253,138,138,0,0
cavity06.rb,2084.86,2920.14,0.0027753,1182,1182,3,1
c-69.rb,2845.73,2933.27,0.021737,67458,67458,1,1
TSOPF_FS_b162_c1.rb,3716.72,6032.95,0.0339736,10798,10798,5,3
light_in_tissue_Q.rb,2.07793,14.518,0.0022431,14641,1,0,0
lowThrust_5.rb,3802.19,3624.95,0.00866517,16262,16262,0,0
n4c5-b4.rb,2075.65,1770.92,0.00239692,2852,1350,0,0
n3c6-b4.rb,2102.84,2068.89,0.00242408,3003,1365,0,0
extr1b_Zeros_18.rb,67.8846,85.4717,0.00165913,2836,2836,0,0
GL7d13.rb,1211.25,1165.4,0.025105,47271,8899,1,1
mk11-b4b.rb,1959.44,1688.03,0.00421382,9450,17325,1,1
Roget.rb,1711.17,1477.09,0.00167066,1022,1022,0,0
extr1b_A_05.rb,1895.32,1608.57,0.00217499,2836,2836,0,0
rajat07.rb,2710.28,2447.15,0.00527906,14842,14842,1,1
barth5.rb,2504.23,2357.28,0.00511798,15606,15606,1,1
rajat21.rb,1024.86,832.559,0.145035,411676,411676,3,1
patents.rb,213.032,216.357,3.5914,3774768,3774768,1,1
apache1.rb,3041.55,2839.64,0.0205045,80800,80800,1,1
cage_G_29.rb,2095.6,1702.06,0.00125579,406,406,0,0
adder_dcop_58.rb,1460.73,1321.22,0.00183669,1813,1813,1,1
plddb_A_01.rb,1875.87,1478.29,0.00186541,3069,5049,1,1
rdist3a.rb,2129.46,3055.96,0.0038992,2398,2398,3,1
west0156.rb,1134.94,773.709,0.00119209,156,156,0,0
c-26.rb,3109.75,3361.28,0.00232716,4307,4307,2,1
t2d_q9_A_12.rb,2352.95,2583.95,0.00942759,9801,9801,3,1
cage10.rb,2130.63,2081.03,0.00942608,11397,11397,1,1
pwtk.rb,2913.51,4334.1,0.266679,217918,217918,3,1
d_ss.rb,770.317,484.232,0.00121418,53,53,0,0
t2d_q4_A_36.rb,2357.71,2585.25,0.00521923,9801,9801,3,1
model7.rb,1775.48,1722.59,0.00462433,3358,9582,0,0
sctap1-2b_A_2.rb,2078.76,1707.3,0.00161428,990,2178,1,1
meg1.rb,2014.75,2958.26,0.00384225,2904,2904,3,1
netz4504_dual.rb,2536.15,2062.37,0.00153969,615,615,0,0
nnc1374.rb,2090.3,1824.3,0.00240999,1374,1374,0,0
hydr1c_Zeros_23.rb,80.2926,104.503,0.00221859,5308,5308,0,0
TSOPF_RS_b39_c7.rb,2141.41,3205.36,0.0128897,14098,14098,4,1
stormG2_1000.rb,1215.93,1004.18,0.263865,528185,1377306,1,1
adder_dcop_43.rb,1437.83,1321.14,0.00203181,1813,1813,1,1
t2d_q4_A_32.rb,2349.4,2556.89,0.00527631,9801,9801,3,1
cavity04.rb,1993.59,2382.77,0.00157145,317,317,3,1
large_A_14.rb,1925.24,1602.94,0.00246682,4248,8585,1,1
light_in_tissue.rb,1566.54,1914.06,0.0245284,29282,29282,2,1
rdist1.rb,2132.72,3063.52,0.00522762,4134,4134,3,1
flower_4_4.rb,1614.52,1608.74,0.00255269,1837,5529,0,0
N_biocarta.rb,1073.34,1156.95,0.0016568,1922,1996,0,0
TEM27623.rb,2293.35,2308.3,0.0146611,27623,27623,1,1
landmark.rb,1677.48,2278.35,0.058951,71952,2704,4,1
GD01_b.rb,268.705,150.085,0.0175482,18,18,0,0
hydr1c_A_66.rb,1894.2,1652.14,0.00331988,5308,5308,0,0
tuma2.rb,2683.79,2464.15,0.00416909,12992,12992,0,0
small_A_14.rb,1845.46,1412.77,0.00135923,701,1424,1,1
jan99jac120.rb,1921.36,1846.27,0.016234,41374,41374,1,1
TSOPF_RS_b162_c3.rb,1705.01,2812.37,0.0284741,15374,15374,3,1
large_A_08.rb,1950.3,1603.13,0.00251996,4236,8575,1,1
n4c5-b7.rb,2218.0,2020.76,0.00276929,3635,4735,1,1
finance256.rb,3433.79,3268.48,0.0110994,37376,37376,1,1
south31.rb,2005.82,1815.42,0.00854261,18425,36321,2,1
oscil_dcop_38.rb,1646.34,1310.05,0.00133363,430,430,0,0
bcsstm02.rb,370.201,232.301,0.00122389,66,66,0,0
small_A_15.rb,1852.87,1384.47,0.00134539,687,1410,1,1
oscil_dcop_45.rb,1603.17,1321.02,0.00130262,430,430,0,0
fs_183_4.rb,1684.02,1361.77,0.00149935,183,183,0,0
sctap1-2r_A_10.rb,2141.03,1892.29,0.00645485,12990,28578,1,1
pct20stif.rb,2991.81,3968.58,0.0647381,52329,52329,4,1
hydr1c_Zeros_09.rb,151.886,209.963,0.0023732,5308,5308,0,0
nemeth24.rb,3125.24,5569.86,0.0328687,9506,9506,8,2
bcsstk30.rb,3037.59,4032.42,0.0479762,28924,28924,3,1
debr_G_11.rb,2956.26,2174.72,0.00404933,8192,8192,0,0
delf_A_02.rb,2018.26,1574.53,0.00245602,3098,6570,1,1
hydr1c_Zeros_60.rb,82.9967,108.434,0.0018459,5308,5308,0,0
hydr1c_A_21.rb,1876.99,1624.65,0.00297289,5308,5308,0,0
sctap1-2r_A_08.rb,2088.51,1845.96,0.0027888,3870,8514,1,1
ash219.rb,1104.01,957.906,0.00149886,219,85,0,0
extr1b_A_15.rb,1720.52,1521.58,0.00206697,2836,2836,0,0
fpga_dcop_29.rb,1928.94,1640.24,0.00138822,1220,1220,1,1
extr1b_A_01.rb,1919.14,1596.08,0.00221128,2836,2836,0,0
dwt_310.rb,3287.49,2409.49,0.00166981,310,310,0,0
extr1b_Zeros_22.rb,66.5945,83.5667,0.00194297,2836,2836,0,0
adder_dcop_20.rb,1437.17,1342.69,0.00192601,1813,1813,1,1
scagr7-2r_A_03.rb,1776.5,1239.04,0.00136961,623,887,1,1
extr1b_Zeros_26.rb,66.9023,84.5497,0.00193472,2836,2836,0,0
