Phase	Benchmark	Mode	Feature	Value
Sparse	atmosmodd.mtx	coo	MFLOPS_median	1502.52
Sparse	atmosmodd.mtx	coo	Time	0.235576
Sparse	atmosmodd.mtx	coo	Fletcher_sum	24131

Dense	atmosmodd.mtx	csr	Outer	20
Dense	atmosmodd.mtx	csr	Inner	500
Dense	atmosmodd.mtx	csr	N	1000
Dense	atmosmodd.mtx	csr	NNZ	1000000
Dense	atmosmodd.mtx	csr	SD	11.661576
Dense	atmosmodd.mtx	csr	MFLOPS_s	1972.42
Dense	atmosmodd.mtx	csr	MFLOPS_median	1950.05
Dense	atmosmodd.mtx	csr	Time	10.1398
Dense	atmosmodd.mtx	csr	Fletcher_sum	0

Dense	atmosmodd.mtx	dia	Outer	20
Dense	atmosmodd.mtx	dia	Inner	500
Dense	atmosmodd.mtx	dia	N	1000
Dense	atmosmodd.mtx	dia	NNZ	1000000
Dense	atmosmodd.mtx	dia	SD	156.904213
Dense	atmosmodd.mtx	dia	MFLOPS_s	4710.37
Dense	atmosmodd.mtx	dia	MFLOPS_median	4541.53
Dense	atmosmodd.mtx	dia	Time	4.24595
Dense	atmosmodd.mtx	dia	Fletcher_sum	0

Dense	atmosmodd.mtx	ell	Outer	20
Dense	atmosmodd.mtx	ell	Inner	500
Dense	atmosmodd.mtx	ell	N	1000
Dense	atmosmodd.mtx	ell	NNZ	1000000
Dense	atmosmodd.mtx	ell	SD	45.750125
Dense	atmosmodd.mtx	ell	MFLOPS_s	2558.68
Dense	atmosmodd.mtx	ell	MFLOPS_median	2545.77
Dense	atmosmodd.mtx	ell	Time	7.81652
Dense	atmosmodd.mtx	ell	Fletcher_sum	0

Dense	atmosmodd.mtx	coo	Outer	20
Dense	atmosmodd.mtx	coo	Inner	500
Dense	atmosmodd.mtx	coo	N	1000
Dense	atmosmodd.mtx	coo	NNZ	1000000
Dense	atmosmodd.mtx	coo	SD	2.22091
Dense	atmosmodd.mtx	coo	MFLOPS_s	912.725
Dense	atmosmodd.mtx	coo	MFLOPS_median	912.346
Dense	atmosmodd.mtx	coo	Time	21.9124
Dense	atmosmodd.mtx	coo	Fletcher_sum	0

Sparse	cant.mtx	csr	Outer	20
Sparse	cant.mtx	csr	Inner	1
Sparse	cant.mtx	csr	N	62451
Sparse	cant.mtx	csr	NNZ	4007383
Sparse	cant.mtx	csr	SD	14.482731
Sparse	cant.mtx	csr	MFLOPS_s	2377.1
Sparse	cant.mtx	csr	MFLOPS_median	2379.68
Sparse	cant.mtx	csr	Time	0.067433
Sparse	cant.mtx	csr	Fletcher_sum	16737

Sparse	cant.mtx	dia	Outer	20
Sparse	cant.mtx	dia	Inner	1
Sparse	cant.mtx	dia	N	62451
Sparse	cant.mtx	dia	NNZ	4007383
Sparse	cant.mtx	dia	SD	59.936727
Sparse	cant.mtx	dia	MFLOPS_s	4717.2
Sparse	cant.mtx	dia	MFLOPS_median	4731.55
Sparse	cant.mtx	dia	Time	0.033981
Sparse	cant.mtx	dia	Fletcher_sum	16737

Sparse	cant.mtx	ell	Outer	20
Sparse	cant.mtx	ell	Inner	1
Sparse	cant.mtx	ell	N	62451
Sparse	cant.mtx	ell	NNZ	4007383
Sparse	cant.mtx	ell	SD	37.060180
Sparse	cant.mtx	ell	MFLOPS_s	2178.61
Sparse	cant.mtx	ell	MFLOPS_median	2113.48
Sparse	cant.mtx	ell	Time	0.073577
Sparse	cant.mtx	ell	Fletcher_sum	16737

Sparse	cant.mtx	coo	Outer	20
Sparse	cant.mtx	coo	Inner	1
Sparse	cant.mtx	coo	N	62451
Sparse	cant.mtx	coo	NNZ	4007383
Sparse	cant.mtx	coo	SD	12.0382
Sparse	cant.mtx	coo	MFLOPS_s	1041.95
Sparse	cant.mtx	coo	MFLOPS_median	1044.19
Sparse	cant.mtx	coo	Time	0.153842
Sparse	cant.mtx	coo	Fletcher_sum	16737

Dense	cant.mtx	csr	Outer	20
Dense	cant.mtx	csr	Inner	500
Dense	cant.mtx	csr	N	1000
Dense	cant.mtx	csr	NNZ	1000000
Dense	cant.mtx	csr	SD	13.903753
Dense	cant.mtx	csr	MFLOPS_s	1983.33
Dense	cant.mtx	csr	MFLOPS_median	1982.17
Dense	cant.mtx	csr	Time	10.0841
Dense	cant.mtx	csr	Fletcher_sum	0

Dense	cant.mtx	dia	Outer	20
Dense	cant.mtx	dia	Inner	500
Dense	cant.mtx	dia	N	1000
Dense	cant.mtx	dia	NNZ	1000000
Dense	cant.mtx	dia	SD	14.429052
Dense	cant.mtx	dia	MFLOPS_s	4369.03
Dense	cant.mtx	dia	MFLOPS_median	4359.19
Dense	cant.mtx	dia	Time	4.57768
Dense	cant.mtx	dia	Fletcher_sum	0

Dense	cant.mtx	ell	Outer	20
Dense	cant.mtx	ell	Inner	500
Dense	cant.mtx	ell	N	1000
Dense	cant.mtx	ell	NNZ	1000000
Dense	cant.mtx	ell	SD	33.518116
Dense	cant.mtx	ell	MFLOPS_s	2543.59
Dense	cant.mtx	ell	MFLOPS_median	2517.84
Dense	cant.mtx	ell	Time	7.86291
Dense	cant.mtx	ell	Fletcher_sum	0

Dense	cant.mtx	coo	Outer	20
Dense	cant.mtx	coo	Inner	500
Dense	cant.mtx	coo	N	1000
Dense	cant.mtx	coo	NNZ	1000000
Dense	cant.mtx	coo	SD	2.29021
Dense	cant.mtx	coo	MFLOPS_s	912.031
Dense	cant.mtx	coo	MFLOPS_median	910.793
Dense	cant.mtx	coo	Time	21.9291
Dense	cant.mtx	coo	Fletcher_sum	0

Sparse	consph.mtx	csr	Outer	20
Sparse	consph.mtx	csr	Inner	1
Sparse	consph.mtx	csr	N	83334
Sparse	consph.mtx	csr	NNZ	6010480
Sparse	consph.mtx	csr	SD	23.696564
Sparse	consph.mtx	csr	MFLOPS_s	2338.41
Sparse	consph.mtx	csr	MFLOPS_median	2350.14
Sparse	consph.mtx	csr	Time	0.102813
Sparse	consph.mtx	csr	Fletcher_sum	59279

Sparse	consph.mtx	dia	Outer	20
Sparse	consph.mtx	dia	Inner	1
Sparse	consph.mtx	dia	N	83334
Sparse	consph.mtx	dia	NNZ	6010480
Sparse	consph.mtx	dia	SD	10.055066
Sparse	consph.mtx	dia	MFLOPS_s	37.0073
Sparse	consph.mtx	dia	MFLOPS_median	26.5999
Sparse	consph.mtx	dia	Time	6.49653
Sparse	consph.mtx	dia	Fletcher_sum	59279

Sparse	consph.mtx	ell	Outer	20
Sparse	consph.mtx	ell	Inner	1
Sparse	consph.mtx	ell	N	83334
Sparse	consph.mtx	ell	NNZ	6010480
Sparse	consph.mtx	ell	SD	40.318940
Sparse	consph.mtx	ell	MFLOPS_s	2189.07
Sparse	consph.mtx	ell	MFLOPS_median	2211.16
Sparse	consph.mtx	ell	Time	0.109827
Sparse	consph.mtx	ell	Fletcher_sum	59279

Sparse	consph.mtx	coo	Outer	20
Sparse	consph.mtx	coo	Inner	1
Sparse	consph.mtx	coo	N	83334
Sparse	consph.mtx	coo	NNZ	6010480
Sparse	consph.mtx	coo	SD	6.10517
Sparse	consph.mtx	coo	MFLOPS_s	1016.93
Sparse	consph.mtx	coo	MFLOPS_median	1014.94
Sparse	consph.mtx	coo	Time	0.236417
Sparse	consph.mtx	coo	Fletcher_sum	59279

Dense	consph.mtx	csr	Outer	20
Dense	consph.mtx	csr	Inner	500
Dense	consph.mtx	csr	N	1000
Dense	consph.mtx	csr	NNZ	1000000
Dense	consph.mtx	csr	SD	9.884766
Dense	consph.mtx	csr	MFLOPS_s	1987.04
Dense	consph.mtx	csr	MFLOPS_median	1980.91
Dense	consph.mtx	csr	Time	10.0652
Dense	consph.mtx	csr	Fletcher_sum	0

Dense	consph.mtx	dia	Outer	20
Dense	consph.mtx	dia	Inner	500
Dense	consph.mtx	dia	N	1000
Dense	consph.mtx	dia	NNZ	1000000
Dense	consph.mtx	dia	SD	132.082527
Dense	consph.mtx	dia	MFLOPS_s	4420.69
Dense	consph.mtx	dia	MFLOPS_median	4373.43
Dense	consph.mtx	dia	Time	4.52418
Dense	consph.mtx	dia	Fletcher_sum	0

Dense	consph.mtx	ell	Outer	20
Dense	consph.mtx	ell	Inner	500
Dense	consph.mtx	ell	N	1000
Dense	consph.mtx	ell	NNZ	1000000
Dense	consph.mtx	ell	SD	17.686282
Dense	consph.mtx	ell	MFLOPS_s	2558.93
Dense	consph.mtx	ell	MFLOPS_median	2570.66
Dense	consph.mtx	ell	Time	7.81576
Dense	consph.mtx	ell	Fletcher_sum	0

Dense	consph.mtx	coo	Outer	20
Dense	consph.mtx	coo	Inner	500
Dense	consph.mtx	coo	N	1000
Dense	consph.mtx	coo	NNZ	1000000
Dense	consph.mtx	coo	SD	1.62513
Dense	consph.mtx	coo	MFLOPS_s	914.203
