Phase	Benchmark	Mode	Feature	Value
Sparse	atmosmodd.mtx	ell	MFLOPS_median	1923.74
Sparse	atmosmodd.mtx	ell	Time	0.027147
Sparse	atmosmodd.mtx	ell	Fletcher_sum	24131

Dense	atmosmodd.mtx	csr	Outer	3
Dense	atmosmodd.mtx	csr	Inner	500
Dense	atmosmodd.mtx	csr	N	1000
Dense	atmosmodd.mtx	csr	NNZ	1000000
Dense	atmosmodd.mtx	csr	SD	10.440727
Dense	atmosmodd.mtx	csr	MFLOPS_s	1906.92
Dense	atmosmodd.mtx	csr	MFLOPS_median	1910.68
Dense	atmosmodd.mtx	csr	Time	1.57322
Dense	atmosmodd.mtx	csr	Fletcher_sum	0

Dense	atmosmodd.mtx	dia	Outer	3
Dense	atmosmodd.mtx	dia	Inner	500
Dense	atmosmodd.mtx	dia	N	1000
Dense	atmosmodd.mtx	dia	NNZ	1000000
Dense	atmosmodd.mtx	dia	SD	246.398370
Dense	atmosmodd.mtx	dia	MFLOPS_s	4508.5
Dense	atmosmodd.mtx	dia	MFLOPS_median	4507.44
Dense	atmosmodd.mtx	dia	Time	0.66541
Dense	atmosmodd.mtx	dia	Fletcher_sum	0

Dense	atmosmodd.mtx	ell	Outer	3
Dense	atmosmodd.mtx	ell	Inner	500
Dense	atmosmodd.mtx	ell	N	1000
Dense	atmosmodd.mtx	ell	NNZ	1000000
Dense	atmosmodd.mtx	ell	SD	42.308640
Dense	atmosmodd.mtx	ell	MFLOPS_s	2481.36
Dense	atmosmodd.mtx	ell	MFLOPS_median	2511.08
Dense	atmosmodd.mtx	ell	Time	1.20901
Dense	atmosmodd.mtx	ell	Fletcher_sum	0

Dense	atmosmodd.mtx	coo	Outer	3
Dense	atmosmodd.mtx	coo	Inner	500
Dense	atmosmodd.mtx	coo	N	1000
Dense	atmosmodd.mtx	coo	NNZ	1000000
Dense	atmosmodd.mtx	coo	SD	3.39944
Dense	atmosmodd.mtx	coo	MFLOPS_s	890.398
Dense	atmosmodd.mtx	coo	MFLOPS_median	890.016
Dense	atmosmodd.mtx	coo	Time	3.36928
Dense	atmosmodd.mtx	coo	Fletcher_sum	0

Sparse	cant.mtx	csr	Outer	3
Sparse	cant.mtx	csr	Inner	1
Sparse	cant.mtx	csr	N	62451
Sparse	cant.mtx	csr	NNZ	4007383
Sparse	cant.mtx	csr	SD	65.760076
Sparse	cant.mtx	csr	MFLOPS_s	2300.45
Sparse	cant.mtx	csr	MFLOPS_median	2270.02
Sparse	cant.mtx	csr	Time	0.010452
Sparse	cant.mtx	csr	Fletcher_sum	16737

Sparse	cant.mtx	coo	Outer	3
Sparse	cant.mtx	coo	Inner	1
Sparse	cant.mtx	coo	N	62451
Sparse	cant.mtx	coo	NNZ	4007383
Sparse	cant.mtx	coo	SD	9.89496
Sparse	cant.mtx	coo	MFLOPS_s	1021.64
Sparse	cant.mtx	coo	MFLOPS_median	1027.96
Sparse	cant.mtx	coo	Time	0.023535
Sparse	cant.mtx	coo	Fletcher_sum	16737

Sparse	cant.mtx	dia	Outer	3
Sparse	cant.mtx	dia	Inner	1
Sparse	cant.mtx	dia	N	62451
Sparse	cant.mtx	dia	NNZ	4007383
Sparse	cant.mtx	dia	SD	25.409820
Sparse	cant.mtx	dia	MFLOPS_s	4110.14
Sparse	cant.mtx	dia	MFLOPS_median	4093.37
Sparse	cant.mtx	dia	Time	0.00585
Sparse	cant.mtx	dia	Fletcher_sum	16737

Sparse	cant.mtx	ell	Outer	3
Sparse	cant.mtx	ell	Inner	1
Sparse	cant.mtx	ell	N	62451
Sparse	cant.mtx	ell	NNZ	4007383
Sparse	cant.mtx	ell	SD	54.055271
Sparse	cant.mtx	ell	MFLOPS_s	2035.41
Sparse	cant.mtx	ell	MFLOPS_median	2016.05
Sparse	cant.mtx	ell	Time	0.011813
Sparse	cant.mtx	ell	Fletcher_sum	16737

Dense	cant.mtx	csr	Outer	3
Dense	cant.mtx	csr	Inner	500
Dense	cant.mtx	csr	N	1000
Dense	cant.mtx	csr	NNZ	1000000
Dense	cant.mtx	csr	SD	11.294907
Dense	cant.mtx	csr	MFLOPS_s	1882.65
Dense	cant.mtx	csr	MFLOPS_median	1878.71
Dense	cant.mtx	csr	Time	1.5935
Dense	cant.mtx	csr	Fletcher_sum	0

Dense	cant.mtx	dia	Outer	3
Dense	cant.mtx	dia	Inner	500
Dense	cant.mtx	dia	N	1000
Dense	cant.mtx	dia	NNZ	1000000
Dense	cant.mtx	dia	SD	119.221675
Dense	cant.mtx	dia	MFLOPS_s	4294.45
Dense	cant.mtx	dia	MFLOPS_median	4380.74
Dense	cant.mtx	dia	Time	0.698576
Dense	cant.mtx	dia	Fletcher_sum	0

Dense	cant.mtx	ell	Outer	3
Dense	cant.mtx	ell	Inner	500
Dense	cant.mtx	ell	N	1000
Dense	cant.mtx	ell	NNZ	1000000
Dense	cant.mtx	ell	SD	44.862228
Dense	cant.mtx	ell	MFLOPS_s	2276.07
Dense	cant.mtx	ell	MFLOPS_median	2284.19
Dense	cant.mtx	ell	Time	1.31806
Dense	cant.mtx	ell	Fletcher_sum	0

Dense	cant.mtx	coo	Outer	3
Dense	cant.mtx	coo	Inner	500
Dense	cant.mtx	coo	N	1000
Dense	cant.mtx	coo	NNZ	1000000
Dense	cant.mtx	coo	SD	3.6622
Dense	cant.mtx	coo	MFLOPS_s	889.54
Dense	cant.mtx	coo	MFLOPS_median	892.136
Dense	cant.mtx	coo	Time	3.37253
Dense	cant.mtx	coo	Fletcher_sum	0

Sparse	consph.mtx	csr	Outer	3
Sparse	consph.mtx	csr	Inner	1
Sparse	consph.mtx	csr	N	83334
Sparse	consph.mtx	csr	NNZ	6010480
Sparse	consph.mtx	csr	SD	57.058035
Sparse	consph.mtx	csr	MFLOPS_s	2231.89
Sparse	consph.mtx	csr	MFLOPS_median	2252.38
Sparse	consph.mtx	csr	Time	0.016158
Sparse	consph.mtx	csr	Fletcher_sum	59279

Sparse	consph.mtx	coo	Outer	3
Sparse	consph.mtx	coo	Inner	1
Sparse	consph.mtx	coo	N	83334
Sparse	consph.mtx	coo	NNZ	6010480
Sparse	consph.mtx	coo	SD	10.173
Sparse	consph.mtx	coo	MFLOPS_s	1003.75
Sparse	consph.mtx	coo	MFLOPS_median	1010.89
Sparse	consph.mtx	coo	Time	0.035928
Sparse	consph.mtx	coo	Fletcher_sum	59279

Sparse	consph.mtx	dia	Outer	3
Sparse	consph.mtx	dia	Inner	1
Sparse	consph.mtx	dia	N	83334
Sparse	consph.mtx	dia	NNZ	6010480
Sparse	consph.mtx	dia	SD	20.759436
Sparse	consph.mtx	dia	MFLOPS_s	18.112
Sparse	consph.mtx	dia	MFLOPS_median	23.4832
Sparse	consph.mtx	dia	Time	1.99111
Sparse	consph.mtx	dia	Fletcher_sum	59279

Sparse	consph.mtx	ell	Outer	3
Sparse	consph.mtx	ell	Inner	1
Sparse	consph.mtx	ell	N	83334
Sparse	consph.mtx	ell	NNZ	6010480
Sparse	consph.mtx	ell	SD	114.074444
Sparse	consph.mtx	ell	MFLOPS_s	2117.73
Sparse	consph.mtx	ell	MFLOPS_median	2080.03
Sparse	consph.mtx	ell	Time	0.017029
Sparse	consph.mtx	ell	Fletcher_sum	59279

Dense	consph.mtx	csr	Outer	3
Dense	consph.mtx	csr	Inner	500
Dense	consph.mtx	csr	N	1000
Dense	consph.mtx	csr	NNZ	1000000
Dense	consph.mtx	csr	SD	10.637481
Dense	consph.mtx	csr	MFLOPS_s	1956.39
Dense	consph.mtx	csr	MFLOPS_median	1954.53
Dense	consph.mtx	csr	Time	1.53344
